id,seed,starting_age,race,sex,insurance,place
0,486192,40,NHW,M,Y,IHS
1,451284,40,NHW,M,N,OHS
2,165159,40,NHW,M,Y,IHS
3,908342,40,NHW,M,N,IHS
4,978125,40,NHW,M,Y,IHS
5,220533,40,NHW,F,Y,IHS
6,869017,40,NHW,F,Y,IHS
7,514042,40,NHW,F,Y,IHS
8,818832,40,NHW,F,Y,IHS
9,318130,40,NHW,M,Y,IHS
10,565528,40,NHW,M,N,OHS
11,9450,40,NHW,M,Y,IHS
12,416923,40,NHW,M,Y,IHS
13,139295,40,NHW,F,Y,OHS
14,491180,40,NHW,M,N,OHS
15,951455,40,NHW,F,Y,IHS
16,564973,40,NHB,F,N,IHS
17,532349,40,NHW,M,Y,IHS
18,859931,40,NHW,M,Y,IHS
19,734583,40,NHB,M,Y,IHS
20,649659,40,NHW,M,Y,IHS
21,911481,40,NHW,F,Y,OHS
22,79729,40,NHW,F,Y,IHS
23,73181,40,NHB,F,Y,IHS
24,486726,40,NHW,F,Y,IHS
25,879953,40,NHW,M,Y,IHS
26,238538,40,NHW,M,N,IHS
27,641408,40,NHW,F,Y,IHS
28,573687,40,NHW,M,Y,IHS
29,461311,40,NHW,F,Y,OHS
30,691632,40,NHB,M,Y,IHS
31,366131,40,NHW,M,Y,IHS
32,659185,40,NHW,M,Y,IHS
33,153340,40,NHW,M,Y,IHS
34,414797,40,NHB,M,Y,IHS
35,735526,40,NHW,F,N,IHS
36,522019,40,NHW,F,Y,IHS
37,864167,40,NHW,F,Y,IHS
38,312827,40,NHW,M,Y,IHS
39,242884,40,NHB,M,Y,IHS
40,600808,40,NHW,F,Y,OHS
41,23692,40,NHW,F,Y,IHS
42,694913,40,NHW,M,Y,IHS
43,283370,40,NHW,M,Y,IHS
44,798540,40,NHW,M,N,IHS
45,338257,40,NHW,F,N,IHS
46,737284,40,NHW,M,Y,IHS
47,50435,40,NHB,M,Y,IHS
48,148756,40,NHW,M,Y,IHS
49,977805,40,NHW,M,Y,IHS
